Emplid,Employee Name,Employee Email ID,Grade,Employee Status,Hire Date,Past Experience,Current Experience,Total Experience,Location Category ,Country,City ,Pool Description ,Department ID ,Business Unit,Project Category ,SL/IND_CLUSTER,Customer,SSL/POD,Project Id,Project Name,Project Mgr PSID,Project Mgr Name,Project Type,Billing Type,Project Status,Project Role,Task Type,Action Reason,Establishment Date,Resource Start Date ,Resource End Date,Analysis Type,Supervisor Id,Supervisor Name,Supervisor Email ID,Assignment So Id ,Hire So Id,Master Account,Marketing Geo,First Billable Assignment start date Recorded in system ,Hiring Channel,Project Based SL,Project Based SSL,Project Account,Customer Name,Resource Based SL,Resource Based SSL,% Allocation,Allocation % count,Forecast Date,Future Allocation,Skiil,Confirm release,Project end date,LWD,Exit,Bench aging,D rated,Status,PSSL,Campus/Lateral,Campus status,G2,Bench allocation category,NE under bench,NE under bench Duration,Onsite status,Final Status,Bench Gird,Status without BZ,Comments as of today,Release Week?,Current or Future Bench,Exit date (+60 days),Exit Week,OC,ll,Leave type,BZ resources,Concatenation,revised end date,Allocation % Status,RM Status for BZ,CMP,Total Allocation %,CAO,CAO Bench Project,BNH_BNHP Projects,Project based SL,Validation,Project based SSL,Validation.1,Final Status Category,Final Status Sub Category,CAO Status,Releases in Next 30 days and beyond,Project Start Date,Ageing (Today - Tentative Billing Start date),Tentative Billing Start date,Release Month,Confirm Release Period,Resignation Submitted Date,Validation.2,Ratings?,TalentX  - Core Skill,TalentX  Primary & Seconday Skills,RM,Final Status RM Deployement back,"Talent Core, Primary and Secondary",a,Unnamed: 111, 
73225,Sanjay Singh,sanjay.singh@itcinfotech.com,SPA,Employee,10/13/2025,11.8,4.4,16.2,Onsite,Australia,SYDNEY,Pool for ERP,GIC_INFRA,ITAUT,BDMGT,GIC_SERV,BlackRock Inc,CAMPUS_BATCH,74788,BAT_DM,94540,"Naveen,Ghosh",BDMGT,FP,A,PROGRAM MANAGER,NE,TRA,10/13/2025,10/31/2025,3/31/2029,BIL,96529,Rahul Das,rahul.das@itcinfotech.com,2031500,2518891,BlackRock Inc,ITC,7/16/2022,REG,GIC_SERV,ITC,BlackRock Inc,BlackRock Inc,GIC_SERV,ADM,50,0.5,3/22/2027,,Artificial Intelligence,Extension to be performed/Initiated,3/31/2029,9/1/2026,,335.1,,Support,CIO_SERV_MGT,Lateral,Released From Project,,50% to 99% on bench,,0,,Proposed - Feedback Awaiting,61-90 days,Support,,Releases by 19th March 27,Current bench,5/30/2029,Exit by 10th April 27,,,,,7322574788,5/31/2029,Exceeds 100%,,,50,BlackRock Inc,GOLDMAN_S,BNHP,GIC_SERV,,,Yes,,Proposed - Feedback Awaiting,,Released to Bench,10/31/2025,,8/4/2026,Mar-29,,,,D1,Artificial Intelligence,"Java, Kafka",Joyce Ross,Unclear,"-Artificial Intelligence, Java, Kafka",Mar-29,,
16963,Naveen Mishra,naveen.mishra@itcinfotech.com,DT6,Non-Employee,1/11/2022,6.5,4.7,11.2,Onsite,Saudi Arabia,RIYADH,Pool for CMS,HRBPH,I2NLD,INV,COO,Marriott Hotels India,GIC_CMS,28873,GARTNER_CLOUD,73792,"Naveen,Mukherjee",INV,"FP,T&M",P,PROGRAM MANAGER,BE,SEC,1/11/2022,1/14/2022,8/13/2024,BIL,96235,Priya Kulkarni,priya.kulkarni@itcinfotech.com,8327199,3277939,Marriott Hotels India,I3L,11/9/2022,3PT,COO,CMS,Marriott Hotels India,Marriott Hotels India,COO,ITC,75,0.75,2/1/2026,,ServiceNow,Confirmed Release,8/13/2024,,,203.6,,OC,CIO_SERV_MGT,Lateral,Allocated,,50% to 99% on bench,,HR Action,,No Open Demands,<30 days,OC,,Releases by 19th February 27,Current bench,10/12/2024,Exit by 28th March 27,41031,,,,1696328873,10/13/2024,,,,75,Baker Hughes India,ACCOR,Other,COO,,ITC,Yes,New Hire to be allocated to projects,No Open Demands,New,Release in 30 days,1/14/2022,,8/29/2025,Aug-24,,,,,ServiceNow,"Java, .NET Core",Aishwarya M2,,"-ServiceNow, Java, .NET Core",Aug-24,,
24832,Rohit Iyer,rohit.iyer@itcinfotech.com,LN7,Employee,8/5/2019,7.8,4.2,12.0,Offshore,France,PARIS,Pool for ABINV CX,BLACKROCK,I3LKN,RMPGT,TALENT_MGMT,ACCOR SA,GIC_CMS,48616,BAT_DM,47907,"Amit,Pandey",RMPGT,"FP,T&M",A,CONSULTANT,IN,DCR,8/5/2019,8/28/2019,8/10/2023,BIL,31955,Pooja Sinha,pooja.sinha@itcinfotech.com,1592675,6101462,ACCOR SA,I2B,2/25/2020,LNP,TALENT_MGMT,BZDAI,ACCOR SA,ACCOR SA,TALENT_MGMT,CMS,25,0.25,10/14/2026,NI,Selenium,Unclear,8/10/2023,,Exit by 19th March 26,315.7,,Resigned,BLACKROCK,Lateral,Released From Project,,25% to 50% on bench,10/12/2026,0,,NAFD - Resigned,31-60 days,Resigned,,Releases by 20th February 27,Current bench,10/9/2023,Exit by 9th April 27,,,,,2483248616,7/12/2023,,,,25,BlackRock Inc,KONE,BNHP,TALENT_MGMT,,BZDAI,,,NAFD - Resigned,Old,Released to Bench,8/28/2019,,4/22/2026,Aug-23,,5/1/2026,,D2,Selenium,"Data Engineering, Terraform",Naresh Chopra,No,"-Selenium, Data Engineering, Terraform",Aug-23,,
40958,Anita Mukherjee,anita.mukherjee@itcinfotech.com,IS2,Employee,5/16/2018,14.0,1.2,15.2,Onsite,Saudi Arabia,RIYADH,Pool for ABINV AD,GIC_CMS,I3LKN,ACMGT,I2A_CORPORATE,BSH India,GIC_CMS,59781,GIC_INFRA,99589,"Ravi,Pillai",ACMGT,"FP,T&M",P,GDC_DEV,IN,RED,5/16/2018,5/26/2018,11/14/2019,BIL,61127,Nisha Reddy,nisha.reddy@itcinfotech.com,8962291,5406118,BSH India,APAC,12/21/2022,FTE,I2A_CORPORATE,DXP_SAAS,BSH India,BSH India,I2A_CORPORATE,ITCICL,100,1.0,5/29/2026,BE,SAP S4 HANA,Unclear,11/14/2019,8/17/2026,,385.4,,BZ,DAY-0-DLY,Lateral,Released From Project,,100% on bench,,0,,Unclear,<30 days,Available,,Releases by 9th March 27,Current bench,1/13/2020,Exit by 19th April 27,,,,72420,4095859781,12/13/2019,,,,100,AB InBev GCC Services India Pvt Ltd,GARTNER,BNHP,I2A_CORPORATE,,ITC,,New Hire to be allocated to projects,Unclear,Old,Release in 60 days,5/26/2018,,9/2/2026,Nov-19,,,,D2,SAP S4 HANA,"UI/UX Design, Salesforce",Aishwarya M2,Yes,"-SAP S4 HANA, UI/UX Design, Salesforce",Nov-19,,
18906,Kiran Kulkarni,kiran.kulkarni@itcinfotech.com,DT6,Employee,3/2/2019,10.9,2.0,12.9,Onsite,India,MUMBAI,Pool for ABINV CX,GIC_INFRA,I3LKN,SE,CLOUD,Goldman Sachs Services India,GIC_CMS,43205,GOLDMAN_TECH,48609,"Anita,Singh",SE,T&M,A,CONSULTANT,UN,SRV,3/2/2019,3/23/2019,9/21/2022,BIL,71204,Meera Mukherjee,meera.mukherjee@itcinfotech.com,2270273,8607523,Goldman Sachs Services India,EUROPE,2/22/2022,RBG,CLOUD,CMS,Goldman Sachs Services India,Goldman Sachs Services India,CLOUD,ADM,25,0.25,12/26/2026,NI,SAP ABAP,Unclear,9/21/2022,,,46.9,,Available,DAY-0-DLY,Campus,Released From Project,,25% to 50% on bench,,SO Awaited,,Available for mapping,>91 days,Available,,Releases by 7th March 27,Future bench,11/20/2022,Exit by 13th May 27,,,,,1890643205,11/12/2022,Exceeds 100%,,,25,BlackRock Inc,KONE,BNH,CLOUD,,,Yes,New Hire to be allocated to projects,Available for mapping,New,Release in 60 days,3/23/2019,,8/13/2025,Sep-22,,,,D2,SAP ABAP,"Angular, Data Engineering",Gauri Tiwari,Unclear,"-SAP ABAP, Angular, Data Engineering",Sep-22,,
19557,Rahul Tripathi,rahul.tripathi@itcinfotech.com,IS9,Employee,1/1/2023,9.6,7.5,17.1,Offshore,Canada,TORONTO,Pool for DATA,GIC_CMS,I2POL,INV,DXP,ABB India Limited,CROWN_PACK,99369,GIC_INFRA,49692,"Vijay,Menon",INV,"FP,T&M",P,PROGRAM MANAGER,IN,FTE,1/1/2023,1/1/2023,10/16/2026,BIL,62509,Vijay Ghosh,vijay.ghosh@itcinfotech.com,1926012,2521139,ABB India Limited,ITC,2/9/2023,CMP,DXP,DXP_SAAS,ABB India Limited,ABB India Limited,DXP,CMS,100,1.0,6/2/2026,NE,Selenium,Extension to be performed/Initiated,10/16/2026,,Exit by 4th March 26,350.3,D2,Resigned,,Lateral,,,100% on bench,1/3/2027,Awaiting project extension,,NAFD - Resigned,<30 days,Resigned,,Releases by 21th February 27,Current bench,12/15/2026,Exit by 24th May 27,,,,,1955799369,10/3/2026,Equal 100,,,100,AB InBev GCC Services India Pvt Ltd,GOLDMAN_S,BNHP,DXP,,BZDAI,No,,NAFD - Resigned,,Released to Bench,1/1/2023,,10/31/2026,Oct-26,,5/4/2026,,D1,Selenium,"MongoDB, Terraform",Vimal Malhotra,Unclear,"-Selenium, MongoDB, Terraform",Oct-26,,
68891,Gaurav Mishra,gaurav.mishra@itcinfotech.com,DT6,Employee,10/15/2021,3.2,5.2,8.4,Onsite,Singapore,SINGAPORE,Pool for CMS,BAT_DM,HRBTM,SE,CLOUD,British American Tobacco Shared Services,GIC_ERP,69793,BAT_DM,90114,"Vikram,Sarkar",SE,T&M,A,GDC_DEV,NE,DEP,10/15/2021,11/9/2021,2/4/2023,BIL,32372,Amit Bose,amit.bose@itcinfotech.com,2073030,2783941,British American Tobacco Shared Services,APAC,7/19/2024,3PT,CLOUD,CMS,British American Tobacco Shared Services,British American Tobacco Shared Services,CLOUD,ADM,100,1.0,2/20/2027,NI,MongoDB,Extension to be performed/Initiated,2/4/2023,12/11/2026,,75.3,D1,Billed,CIO_SERV_MGT,Campus,,,100% on bench,,Future Allocation,,Allocated to Billable Project,<30 days,Billed,,Releases by 19th January 27,Future bench,4/5/2023,Exit by 11th May 27,,,,,6889169793,1/20/2023,Exceeds 100%,,,100,British American Tobacco Shared Services,ACCOR,BNHP,CLOUD,Yes,ITC,,New Hire to be allocated to projects,Allocated to Billable Project,New,Release in 30 days,11/9/2021,,5/2/2025,Feb-23,,,,D2,MongoDB,"Power BI, React",Vinila Kizhakke Valappil,No,"-MongoDB, Power BI, React",Feb-23,,
15334,Geeta Pandey,geeta.pandey@itcinfotech.com,DP1,Employee,3/21/2022,7.3,0.1,7.4,Offshore,United Kingdom,LONDON,Pool for ERP,HRBPH,I2CHE,DLMGT,EMEA,Gartner India,CIO_SERV_MGT,92207,BAT_DM,49478,"Rahul,Chatterjee",DLMGT,FP,P,PROGRAM MANAGER,IN,RED,3/21/2022,4/14/2022,3/2/2024,BIL,55593,Arun Singh,arun.singh@itcinfotech.com,8026061,1076672,Gartner India,I3L,4/26/2024,FTE,EMEA,DATA_IN,Gartner India,Gartner India,EMEA,ADM,50,0.5,1/17/2026,NI,MongoDB,Confirmed Release,3/2/2024,,,326.2,,Support,CIO_SERV_MGT,Lateral,,,50% to 99% on bench,5/1/2027,Awaiting project extension,,Proposed - Feedback Awaiting,31-60 days,Support,,Releases by 6th March 27,Current bench,5/1/2024,Exit by 2th May 27,,,,,1533492207,4/23/2024,Exceeds 100%,,,50,Baker Hughes India,GARTNER,BNHP,EMEA,No,ITC,No,,Proposed - Feedback Awaiting,,Release in 30 days,4/14/2022,,6/20/2027,Mar-24,,,,D1,MongoDB,"Artificial Intelligence, Azure",Vinila Kizhakke Valappil,Yes,"-MongoDB, Artificial Intelligence, Azure",Mar-24,,
80432,Sunita Tripathi,sunita.tripathi@itcinfotech.com,BC4,Employee,10/11/2023,6.7,4.6,11.3,Onsite,Netherlands,AMSTERDAM,Pool for ABINV AD,BAT_DM,HRBTM,DEPT,DIGI_EXP,ACCOR SA,CAMPUS_BATCH,89879,GOLDMAN_TECH,69636,"Anita,Kumar",DEPT,T&M,P,PROGRAM MANAGER,NI,EXT,10/11/2023,10/14/2023,3/7/2025,BIL,33338,Gaurav Tripathi,gaurav.tripathi@itcinfotech.com,7498324,7266039,ACCOR SA,EUROPE,11/18/2023,RBG,DIGI_EXP,ITC,ACCOR SA,ACCOR SA,DIGI_EXP,ITCICL,100,1.0,8/29/2026,BE,.NET Core,Confirmed Release,3/7/2025,,,338.7,,Support,,Lateral,Without FBD,,100% on bench,,Future Allocation,,Proposed - Feedback Awaiting,61-90 days,Support,,Releases by 8th February 27,Current bench,5/6/2025,Exit by 20th May 27,,,,,8043289879,5/17/2025,,,,100,British American Tobacco Shared Services,GARTNER,BNH,DIGI_EXP,Yes,,,,Proposed - Feedback Awaiting,Old,Release in 60 days,10/14/2023,,1/9/2027,Mar-25,,,,D1,.NET Core,"MongoDB, Ansible",Joyce Ross,,"-.NET Core, MongoDB, Ansible",Mar-25,,
46591,Vijay Menon,vijay.menon@itcinfotech.com,DT6,Non-Employee,10/7/2020,3.3,7.4,10.7,Onsite,Malaysia,KUALA LUMPUR,Pool for CMS,BLACKROCK,HRBBE,BENCH,I2A_CORPORATE,BlackRock Inc,GIC_CMS,38574,GOLDMAN_TECH,27394,"Amit,Roy",BENCH,"FP,T&M",P,ASSOCIATE CONS,UN,DSC,10/7/2020,10/14/2020,8/15/2023,BIL,56976,Ajay Kulkarni,ajay.kulkarni@itcinfotech.com,5962539,5010801,BlackRock Inc,I3L,8/7/2022,OCM,I2A_CORPORATE,DATA_IN,BlackRock Inc,BlackRock Inc,I2A_CORPORATE,CMS,50,0.5,3/21/2027,NE,Tableau,Unclear,8/15/2023,6/15/2026,,209.5,D2,Allocated under project,,Lateral,,,50% to 99% on bench,1/2/2026,SO Awaited,,Proposed - Pending Interview,>91 days,Allocated under project,,Releases by 23th February 27,Current bench,10/14/2023,Exit by 17th May 27,,,,,4659138574,8/22/2023,Exceeds 100%,,,50,Baker Hughes India,GARTNER,Other,I2A_CORPORATE,,DXP_SAAS,,,Proposed - Pending Interview,,Beyond 60 days,10/14/2020,,8/17/2026,Aug-23,,,,,Tableau,"Python, MongoDB",Vibhanshu Tiwari,Yes,"-Tableau, Python, MongoDB",Aug-23,,
98428,Pooja Pillai,pooja.pillai@itcinfotech.com,IS5,Employee,2/6/2022,2.6,4.5,7.1,Onsite,Brazil,SAO PAULO,Pool for CMS,BAT_DM,I2AUS,BILL,COO,Schneider Electric India,GIC_ERP,55249,BAT_DM,69298,"Naveen,Joshi",BILL,"FP,T&M",P,CONSULTANT,NE,SRV,2/6/2022,2/20/2022,5/14/2023,BIL,73730,Arjun Gupta,arjun.gupta@itcinfotech.com,9412936,9836267,Schneider Electric India,EUROPE,1/20/2021,CMP,COO,CMS,Schneider Electric India,Schneider Electric India,COO,ITCICL,25,0.25,1/10/2027,NI,ERP-SAP,Unclear,5/14/2023,,,387.0,,Allocated under project,CIO_SERV_MGT,Campus,Without FBD,,25% to 50% on bench,,SO Awaited,,Proposed - Pending Interview,<30 days,Allocated under project,,Releases by 6th February 27,Current bench,7/13/2023,Exit by 4th March 27,,,,,9842855249,5/2/2023,Exceeds 100%,,,25,British American Tobacco Shared Services,GARTNER,BNH,COO,,DXP_SAAS,No,,Proposed - Pending Interview,New,Released to Bench,2/20/2022,,1/11/2026,May-23,,,,,ERP-SAP,"Azure DevOps, Apache Spark",Gauri Tiwari,No,"-ERP-SAP, Azure DevOps, Apache Spark",May-23,,
65067,Gaurav Iyer,gaurav.iyer@itcinfotech.com,DM5,Non-Employee,4/9/2021,12.0,6.7,18.7,Offshore,Singapore,SINGAPORE,Pool for ABINV CX,BAT_DM,I2AUS,RMPGT,I2A_CORPORATE,KONE India,CAMPUS_BATCH,58745,BAT_DM,47767,"Geeta,Singh",RMPGT,"FP,T&M",P,PROGRAM MANAGER,IN,DEP,4/9/2021,4/15/2021,8/21/2022,BIL,16202,Amit Mukherjee,amit.mukherjee@itcinfotech.com,3488704,6924385,KONE India,ITC,9/14/2024,DSC,I2A_CORPORATE,DATA_IN,KONE India,KONE India,I2A_CORPORATE,ITCSMG,75,0.75,1/23/2026,NE,TypeScript,Unclear,8/21/2022,,,172.1,,Allocated under project,DAY-0-DLY,Lateral,,,50% to 99% on bench,3/28/2027,0,,Proposed - Pending Interview,61-90 days,Allocated under project,,Releases by 6th January 27,Current bench,10/20/2022,Exit by 18th March 27,,,,,6506758745,7/26/2022,,,,75,Goldman Sachs,BMI,BNH,I2A_CORPORATE,Yes,ITC,No,New Hire to be allocated to projects,Proposed - Pending Interview,Old,Beyond 60 days,4/15/2021,,6/12/2027,Aug-22,,,,,TypeScript,"ServiceNow, Azure DevOps",Sandya S,Unclear,"-TypeScript, ServiceNow, Azure DevOps",Aug-22,,
13266,Rahul Pillai,rahul.pillai@itcinfotech.com,SPA,Employee,2/20/2023,14.6,4.4,19.0,Offshore,Germany,BERLIN,Pool for ERP,GIC_INFRA,I2POL,DLMGT,SSINDBRNCH,BlackRock Inc,CROWN_PACK,56844,ERP_SAP_IMPL,22121,"Suresh,Sarkar",DLMGT,T&M,P,ASSOCIATE CONS,UN,DEP,2/20/2023,3/21/2023,1/4/2026,BIL,52777,Suresh Reddy,suresh.reddy@itcinfotech.com,1923311,4274069,BlackRock Inc,I2B,3/18/2022,CMP,SSINDBRNCH,DATA_IN,BlackRock Inc,BlackRock Inc,SSINDBRNCH,CMS,75,0.75,6/9/2026,BE,ServiceNow,Extension to be performed/Initiated,1/4/2026,11/6/2026,,148.5,D1,Billed,BLACKROCK,Campus,,,50% to 99% on bench,1/5/2027,Awaiting project extension,,Allocated to Billable Project,31-60 days,Billed,,Releases by 23th February 27,Current bench,3/5/2026,Exit by 12th April 27,,,,,1326656844,1/21/2026,Equal 100,,,75,Baker Hughes India,BMI,BNH,SSINDBRNCH,No,ITC,No,New Hire to be allocated to projects,Allocated to Billable Project,,Beyond 60 days,3/21/2023,,1/5/2025,Jan-26,,,,D1,ServiceNow,"Angular, TypeScript",Sandya S,,"-ServiceNow, Angular, TypeScript",Jan-26,,
67999,Sunita Rao,sunita.rao@itcinfotech.com,BC6,Employee,10/3/2022,8.8,0.7,9.5,Offshore,South Africa,JOHANNESBURG,Pool for BAT,HRBPH,I2AUS,DE,TALENT_MGMT,Driscoll India,CIO_SERV_MGT,15535,GIC_INFRA,49582,"Priya,Gupta",DE,"FP,T&M",P,GDC_DEV,LL,REI,10/3/2022,10/26/2022,2/20/2026,BIL,86704,Geeta Patel,geeta.patel@itcinfotech.com,6098837,9289630,Driscoll India,EUROPE,9/1/2023,DCR,TALENT_MGMT,BZDAI,Driscoll India,Driscoll India,TALENT_MGMT,CMS,50,0.5,5/23/2026,NE,Selenium,Extension to be performed/Initiated,2/20/2026,,Exit by 6th May 26,494.2,,Resigned,CIO_SERV_MGT,Lateral,,,50% to 99% on bench,,0,,NAFD - Resigned,>91 days,Resigned,,Releases by 3th March 27,Current bench,4/21/2026,Exit by 24th April 27,,,,,6799915535,4/5/2026,Exceeds 100%,,,50,ABB India Limited,ADGM,Other,TALENT_MGMT,,,,New Hire to be allocated to projects,NAFD - Resigned,Old,Beyond 60 days,10/26/2022,,5/6/2027,Feb-26,,2/21/2026,,D2,Selenium,"Tableau, Power BI",Mohan Pawar,Yes,"-Selenium, Tableau, Power BI",Feb-26,,
31344,Smita Gupta,smita.gupta@itcinfotech.com,LN7,Employee,3/4/2023,0.8,2.9,3.7,Onsite,Poland,WARSAW,Pool for ABINV CS,HRBPH,HRBCA,RMPGT,CAO,KONE India,GIC_ERP,22561,GOLDMAN_TECH,80047,"Mohit,Ghosh",RMPGT,T&M,P,GDC_DEV,IN,RED,3/4/2023,4/1/2023,1/2/2025,BIL,86027,Anita Das,anita.das@itcinfotech.com,6899361,3411179,KONE India,APAC,11/29/2020,LNP,CAO,DXP_SAAS,KONE India,KONE India,CAO,ITCSMG,75,0.75,1/1/2027,NE,SQL,Confirmed Release,1/2/2025,12/10/2025,,146.5,,Available,BLACKROCK,Campus,Allocated,,50% to 99% on bench,,SO Awaited,,Available for mapping,<30 days,Available,,Releases by 27th January 27,Current bench,3/3/2025,Exit by 1th April 27,,,,,3134422561,1/16/2025,Exceeds 100%,,,75,Goldman Sachs,KONE,Other,CAO,No,ITC,Yes,,Available for mapping,,Released to Bench,4/1/2023,,6/17/2025,Jan-25,,,,D1,SQL,".NET Core, React",Sandya S,Yes,"-SQL, .NET Core, React",Jan-25,,
28659,Vikram Patel,vikram.patel@itcinfotech.com,3PT,Employee,6/18/2019,0.3,3.9,4.2,Onsite,Australia,SYDNEY,Pool for DATA,HRBPH,I2ITA,RMPGT,GIC_SERV,BlackRock Inc,GIC_ERP,13835,BAT_DM,21898,"Vikram,Verma",RMPGT,T&M,A,ASSOCIATE CONS,LL,REI,6/18/2019,6/20/2019,11/6/2022,BIL,29078,Sneha Pandey,sneha.pandey@itcinfotech.com,5653591,6835728,BlackRock Inc,I2B,4/12/2024,LAT,GIC_SERV,DXP_SAAS,BlackRock Inc,BlackRock Inc,GIC_SERV,ITC,100,1.0,4/25/2026,NE,SAP S4 HANA,Confirmed Release,11/6/2022,3/16/2026,,54.8,D1,Available,CIO_SERV_MGT,Campus,Allocated,,100% on bench,1/5/2026,SO Awaited,,Available for mapping,31-60 days,Available,,Releases by 17th March 27,Future bench,1/5/2023,Exit by 16th April 27,,,,,2865913835,1/4/2023,,,,100,British American Tobacco Shared Services,AON,BNH,GIC_SERV,,DXP_SAAS,Yes,,Available for mapping,New,Released to Bench,6/20/2019,,3/21/2025,Nov-22,,,,D2,SAP S4 HANA,"Salesforce, SQL",Joyce Ross,,"-SAP S4 HANA, Salesforce, SQL",Nov-22,,
39825,Sneha Verma,sneha.verma@itcinfotech.com,IS1,Employee,5/22/2019,7.4,2.9,10.3,Offshore,Poland,WARSAW,Pool for ACCOR AD,BAT_DM,I2FRA,DEPT,TALENT_MGMT,Fairview Health Services,GIC_ERP,33500,GIC_INFRA,11675,"Rahul,Patel",DEPT,FP,P,GDC_DEV,NI,SEC,5/22/2019,6/5/2019,1/15/2021,BIL,98363,Sneha Dutta,sneha.dutta@itcinfotech.com,9248490,2764491,Fairview Health Services,I2B,7/27/2020,REG,TALENT_MGMT,DATA_IN,Fairview Health Services,Fairview Health Services,TALENT_MGMT,ITCICL,75,0.75,6/17/2027,BE,Selenium,Unclear,1/15/2021,5/13/2026,,21.3,,Allocated under project,CIO_SERV_MGT,Lateral,,,50% to 99% on bench,2/18/2027,SO Awaited,,Proposed - Pending Interview,31-60 days,Allocated under project,,Releases by 27th February 27,Future bench,3/16/2021,Exit by 24th April 27,,,,,3982533500,1/20/2021,,,,75,Baker Hughes India,ACCOR,BNHP,TALENT_MGMT,No,,,,Proposed - Pending Interview,New,Released to Bench,6/5/2019,,5/20/2025,Jan-21,,,,D2,Selenium,"Kafka, Kubernetes",Pratik Rajput,Unclear,"-Selenium, Kafka, Kubernetes",Jan-21,,
69589,Priya Ghosh,priya.ghosh@itcinfotech.com,I7+,Employee,7/30/2023,11.1,6.6,17.7,Onsite,Netherlands,AMSTERDAM,Pool for CMS,BAT_DM,I2ROM,INV,SSINDBRNCH,Baker Hughes India,GIC_CMS,80848,GOLDMAN_TECH,81646,"Smita,Reddy",INV,FP,P,GDC_DEV,BE,CJC,7/30/2023,8/6/2023,5/7/2025,BIL,12316,Gaurav Shah,gaurav.shah@itcinfotech.com,1530135,8221021,Baker Hughes India,EUROPE,3/8/2020,REG,SSINDBRNCH,DATA_IN,Baker Hughes India,Baker Hughes India,SSINDBRNCH,ITC,100,1.0,1/31/2026,BE,Data Engineering,Unclear,5/7/2025,11/16/2025,,486.1,,Billed,,Campus,Released From Project,,100% on bench,,0,,Allocated to Billable Project,>91 days,Billed,,Releases by 16th January 27,Current bench,7/6/2025,Exit by 19th March 27,,,,,6958980848,6/8/2025,,,,100,ACCOR SA,AON,BNHP,SSINDBRNCH,,BZDAI,,New Hire to be allocated to projects,Allocated to Billable Project,,Released to Bench,8/6/2023,,4/12/2025,May-25,,,,D2,Data Engineering,"Tableau, Microservices",Gauri Tiwari,Unclear,"-Data Engineering, Tableau, Microservices",May-25,,
59518,Gaurav Pandey,gaurav.pandey@itcinfotech.com,GAP,Non-Employee,3/11/2021,0.7,6.7,7.4,Onsite,UAE,DUBAI,Pool for ABINV CS,BAT_DM,I2AUS,RMPGT,INDIA_DIVISION,Baker Hughes India,GIC_CMS,25003,BAT_DM,54249,"Pooja,Sinha",RMPGT,T&M,P,CONSULTANT,LL,REG,3/11/2021,3/21/2021,7/24/2022,BIL,32253,Sunil Pillai,sunil.pillai@itcinfotech.com,1330712,6471332,Baker Hughes India,EUROPE,11/26/2023,REI,INDIA_DIVISION,CMS,Baker Hughes India,Baker Hughes India,INDIA_DIVISION,ITC,75,0.75,1/29/2026,NI,MongoDB,Extension to be performed/Initiated,7/24/2022,6/22/2026,,14.4,,OC,,Lateral,Released From Project,,50% to 99% on bench,,SO Awaited,,No Open Demands,>91 days,OC,,Releases by 4th March 27,Future bench,9/22/2022,Exit by 22th May 27,54035,,,,5951825003,8/26/2022,,,,75,Goldman Sachs,KONE,BNH,INDIA_DIVISION,,ITC,No,,No Open Demands,,Released to Bench,3/21/2021,,8/28/2026,Jul-22,,,,D1,MongoDB,"Apache Spark, React",Joyce Ross,,"-MongoDB, Apache Spark, React",Jul-22,,
19872,Divya Dutta,divya.dutta@itcinfotech.com,IS8,Employee,7/14/2018,11.1,0.7,11.8,Onsite,Canada,TORONTO,Pool for ABINV AD,GIC_CMS,I2ITA,SE,I2A_CORPORATE,AB InBev GCC Services India Pvt Ltd,GIC_CMS,98022,ERP_SAP_IMPL,81770,"Kiran,Banerjee",SE,FP,P,CONSULTANT,BE,REG,7/14/2018,7/23/2018,10/23/2021,BIL,33671,Kavya Gupta,kavya.gupta@itcinfotech.com,1312111,9660803,AB InBev GCC Services India Pvt Ltd,I2B,7/14/2024,LNP,I2A_CORPORATE,ITC,AB InBev GCC Services India Pvt Ltd,AB InBev GCC Services India Pvt Ltd,I2A_CORPORATE,CMS,25,0.25,8/20/2026,NI,React,Confirmed Release,10/23/2021,6/9/2026,,137.4,,Billed,,Lateral,Allocated,,25% to 50% on bench,,Future Allocation,,Allocated to Billable Project,61-90 days,Billed,,Releases by 28th February 27,Current bench,12/22/2021,Exit by 14th April 27,,,,,1987298022,1/11/2022,Equal 100,,,25,AB InBev GCC Services India Pvt Ltd,ACCOR,Other,I2A_CORPORATE,No,ITC,,New Hire to be allocated to projects,Allocated to Billable Project,,Beyond 60 days,7/23/2018,,10/2/2026,Oct-21,,,,D2,React,"Selenium, Java",Pratik Rajput,No,"-React, Selenium, Java",Oct-21,,
